GAZP,SBER,SBERP,LKOH,GMKN,YNDX,NVTK,TATN,TATNP,ROSN,SNGS,SNGSP,MGNT,FIVE,MTSS,POLY,ALRS,CHMF,PLZL,IRAO,NLMK,VTBR,MOEX,PHOR,TRNFP,MAGN,RTKM,RUAL,AFLT,PIKK,HYDR,FEES,AFKS,LSRG,CBOM,UPRO,DSKY,LNTA,SFIN,RNFT,MVID,DJ.W1FIN,DJ.W1IDU,NASDAQCOMP,EURUSD,USDCNY,NYMEX.NG,INDUSDX,ICE.BRN,LME.Alum,LME.Nickel,comex.GC,comex.SI,D&J-IND,RTSI
135.767,97.917,73.577,2356.067,8999.0,1103.333,570.867,312.35,199.667,252.2,34.08,43.73,11345.333,88.003,209.733,620.333,56.9,616.667,2878.333,1.339,60.993,0.076,93.53,2825.667,195133.333,19.013,88.003,22.86,54.9,213.733,0.674,0.061,17.948,715.833,3.893,3.104,2356.067,496.667,8.507,8.507,272.933,105.37,116.985,4792.464,1.086,6.555,2.354,98.882,35.612,1475.45,8509.6,1088.367,13.996,16814.932,746.267
130.436,90.91,69.28,2198.66,8456.2,991.0,562.02,298.97,190.02,238.06,33.547,43.704,10251.2,85.114,205.88,608.6,56.644,613.44,3106.0,1.32,59.792,0.072,91.618,2785.8,203400.0,17.922,85.114,22.476,53.178,210.34,0.657,0.058,17.736,670.3,3.791,3.089,2198.66,483.2,8.118,8.118,253.04,100.357,112.015,4591.484,1.089,6.58,2.264,98.885,30.978,1469.25,8340.1,1090.933,13.902,16286.666,686.814
127.312,86.832,66.024,2192.22,8741.8,973.9,567.32,297.17,184.86,237.57,34.073,45.639,10523.4,83.426,209.28,599.0,55.244,637.96,3061.0,1.306,59.166,0.069,90.218,2766.6,213020.0,17.763,83.426,22.424,51.496,210.5,0.63,0.056,17.393,613.1,3.737,3.038,2192.22,477.4,7.902,7.902,252.0,96.494,109.18,4502.967,1.087,6.578,2.116,99.175,29.198,1481.95,8615.35,1095.067,14.045,15939.738,651.824
134.398,94.288,68.03,2426.7,8948.2,1017.68,606.06,321.59,186.24,263.02,36.113,44.614,11257.4,85.488,222.16,617.3,60.016,639.2,3130.0,1.339,64.44,0.07,92.468,2729.8,196540.0,19.062,85.488,22.542,50.952,212.94,0.653,0.058,17.722,627.1,3.748,3.039,2426.7,449.6,8.272,8.272,250.02,97.019,110.641,4533.578,1.086,6.577,2.197,99.213,32.922,1508.6,8592.8,1114.433,14.309,16106.57,708.384
133.382,96.04,69.478,2532.2,8879.2,1022.9,624.88,330.05,186.12,275.85,37.275,44.602,11005.8,86.544,230.19,671.8,65.466,636.3,3105.6,1.385,68.434,0.071,95.526,2737.8,186280.0,19.174,86.544,23.424,54.98,213.72,0.667,0.06,17.619,617.1,3.766,2.782,2532.2,450.4,8.562,8.562,261.9,97.019,112.294,4500.475,1.104,6.575,2.084,98.056,34.433,1516.9,8385.4,1141.583,14.553,16312.158,718.658
132.204,94.798,69.08,2408.1,8551.2,994.4,606.36,322.65,180.18,269.14,36.772,43.043,10153.2,85.108,227.93,694.4,64.344,652.04,3124.8,1.402,71.252,0.069,90.352,2676.8,189260.0,18.991,85.108,23.056,55.572,210.22,0.673,0.062,17.483,616.7,3.755,2.486,2408.1,415.0,8.66,8.66,253.26,97.019,109.594,4288.091,1.125,6.571,2.065,96.224,32.108,1487.0,7888.1,1205.717,15.444,15918.038,690.45
136.312,99.585,71.34,2496.667,8634.833,1019.083,619.2,324.383,182.017,277.833,38.167,44.393,10139.667,87.268,234.325,692.75,69.203,650.017,3263.167,1.442,74.572,0.072,90.883,2599.167,197700.0,19.15,87.268,23.025,53.745,218.25,0.692,0.063,17.602,599.083,3.784,2.417,2496.667,417.0,8.795,8.795,239.233,97.019,111.876,4490.497,1.114,6.523,1.902,96.565,33.527,1522.9,8369.5,1214.617,15.451,16363.915,727.217
138.422,103.898,73.727,2574.625,8796.25,985.625,633.875,318.138,184.525,282.375,39.008,44.309,10562.25,89.963,231.088,689.5,70.392,640.525,3578.0,1.514,74.05,0.072,94.297,2644.75,198150.0,19.04,89.963,23.602,54.475,248.4,0.699,0.064,17.631,593.25,3.78,2.413,2574.625,419.25,8.97,8.97,242.525,97.019,114.201,4557.895,1.101,6.531,1.788,97.445,34.19,1561.7,8528.3,1226.5,15.138,16574.938,752.918
142.84,107.472,76.406,2700.0,9166.0,997.5,634.88,335.22,190.98,292.2,39.59,43.82,10663.6,91.566,232.82,693.9,71.136,626.08,3993.2,1.592,74.214,0.073,98.22,2835.0,184240.0,19.19,91.566,26.152,61.298,250.06,0.672,0.068,17.802,618.4,3.747,2.463,2700.0,432.6,9.552,9.552,243.46,97.019,167.895,4675.082,1.093,6.537,1.677,97.969,36.92,1576.5,8830.6,1243.9,15.024,16846.314,790.43
147.205,108.93,76.73,2736.25,9324.0,992.875,632.5,350.85,197.85,300.038,40.502,45.086,10803.75,94.745,235.2,717.125,71.338,646.3,4017.75,1.622,77.08,0.076,100.93,2870.0,191700.0,20.233,94.745,25.915,64.233,252.4,0.687,0.068,18.536,655.0,3.829,2.506,2736.25,435.25,10.158,10.158,252.225,97.019,119.255,4688.416,1.107,6.505,1.742,96.871,40.127,1565.2,8861.4,1260.65,15.514,17049.37,838.675
145.682,108.918,77.514,2713.8,9240.8,1022.9,617.88,350.79,199.32,305.57,39.58,44.779,10949.6,95.008,234.5,706.4,70.33,661.22,3940.6,1.638,79.278,0.076,104.846,2858.8,182800.0,20.999,95.008,24.608,68.506,250.1,0.69,0.072,18.027,669.9,3.863,2.552,2713.8,448.4,11.09,11.09,260.14,104.718,121.294,4762.71,1.12,6.491,1.863,95.815,40.353,1516.45,8637.3,1249.283,15.568,17378.042,849.416
147.458,109.964,79.434,2685.4,9223.0,1025.3,610.32,354.04,200.2,310.37,39.077,43.904,11095.2,95.594,237.02,692.8,70.83,704.3,3847.0,1.718,81.974,0.074,104.342,2840.0,183220.0,21.686,95.594,23.982,73.146,251.78,0.694,0.082,17.475,673.6,3.824,2.655,2685.4,441.0,11.92,11.92,256.28,103.539,122.681,4791.591,1.12,6.494,1.83,95.674,41.046,1479.417,8677.833,1233.74,15.535,17556.19,869.216
146.51,108.548,78.344,2608.3,8808.0,1028.1,597.46,353.74,201.62,302.74,39.114,44.62,10532.0,96.764,237.28,662.8,69.614,722.4,3864.2,1.797,83.93,0.074,103.2,2794.6,182820.0,22.009,96.764,23.448,73.884,250.72,0.691,0.084,17.515,678.7,3.855,2.647,2608.3,432.6,13.894,13.894,262.58,103.054,123.044,4853.419,1.131,6.481,1.922,95.259,40.137,1493.9,8436.0,1225.817,15.225,17672.6,860.622
144.902,108.9,76.608,2721.0,8655.0,1038.2,593.54,356.38,197.78,309.61,38.509,44.703,10382.4,97.392,234.83,657.4,70.488,742.1,3842.4,1.782,89.04,0.074,103.158,2799.6,184580.0,23.788,97.392,22.886,77.238,251.5,0.695,0.094,17.194,684.7,3.861,2.618,2721.0,420.2,15.06,15.06,260.36,101.725,121.939,4863.617,1.139,6.476,1.973,94.506,39.248,1503.95,8440.0,1230.917,15.114,17635.653,861.994
149.548,118.68,81.652,2806.8,8980.8,1095.8,601.96,354.19,199.54,318.13,37.338,43.62,10249.0,97.906,251.39,661.2,71.54,768.82,3798.8,1.79,87.604,0.076,103.974,2729.8,181380.0,24.136,97.906,23.2,79.34,250.46,0.691,0.095,18.573,695.0,3.882,2.591,2806.8,417.6,17.616,17.616,261.88,103.762,124.006,4907.105,1.133,6.469,1.963,94.435,43.343,1533.0,8829.25,1243.85,16.077,17802.567,910.798
157.44,120.774,82.956,2848.5,9377.6,1172.0,606.3,341.29,197.64,316.56,35.958,43.008,10154.4,96.884,256.41,667.6,74.06,796.02,4389.2,1.75,91.688,0.073,107.708,2893.8,182740.0,24.543,96.884,24.02,76.914,251.14,0.688,0.094,19.306,646.1,3.908,2.59,2848.5,425.6,20.186,20.186,288.42,106.838,126.449,4940.226,1.128,6.479,2.036,94.571,43.837,1613.45,9157.6,1242.667,16.759,18028.669,925.614
163.502,121.704,83.244,2786.8,9639.8,1228.9,616.38,351.4,195.42,337.29,35.566,42.749,9117.4,98.878,255.89,670.7,74.278,770.62,4762.2,1.822,90.54,0.071,104.692,2858.4,201500.0,24.109,98.878,24.042,75.992,252.12,0.69,0.098,19.454,642.2,3.918,2.614,2786.8,424.4,19.374,19.374,299.02,107.462,126.73,4845.451,1.133,6.483,2.106,94.237,46.36,1654.9,9224.65,1257.117,17.288,17923.307,940.292
160.723,120.84,82.453,2652.5,8889.667,1315.0,617.667,324.683,183.667,337.167,33.355,40.89,9083.333,94.747,258.667,651.167,72.93,716.933,4772.667,1.779,84.98,0.07,105.103,2858.667,204533.333,22.485,94.747,22.897,77.93,250.5,0.68,0.108,19.22,647.333,3.923,2.638,2652.5,423.5,19.017,19.017,298.967,105.06,124.757,4751.71,1.145,6.489,2.099,93.234,45.595,1620.0,9266.85,1287.467,17.514,17739.533,913.71
158.795,121.317,83.107,2650.25,8890.5,1282.75,622.85,322.537,185.25,322.438,33.495,41.099,8957.25,96.123,254.325,687.5,72.922,687.1,4749.75,1.726,83.963,0.069,105.04,2897.75,201500.0,24.205,96.123,22.295,80.07,252.6,0.672,0.109,19.389,638.375,3.948,2.611,2650.25,419.0,18.82,18.82,297.075,103.781,124.01,4755.314,1.137,6.513,2.122,94.128,46.388,1536.25,8655.5,1274.033,17.186,17720.838,915.485
151.756,122.166,83.318,2689.6,9053.0,1276.4,639.0,320.0,182.38,325.77,33.713,42.046,9271.6,97.236,258.43,762.2,76.182,698.22,4740.6,1.881,85.376,0.069,104.498,2883.4,191460.0,24.935,97.236,21.13,79.59,251.7,0.668,0.11,20.264,641.7,3.981,2.61,2689.6,434.3,21.916,21.916,298.46,103.124,123.299,4742.21,1.126,6.536,2.039,94.896,48.762,1538.55,8609.95,1267.2,16.973,17541.322,913.236
147.192,127.648,85.378,2662.8,9097.4,1299.4,653.84,307.19,176.04,317.77,33.5,41.494,9186.4,96.506,254.88,787.6,72.144,699.44,4700.2,1.93,84.09,0.069,105.736,2912.2,174120.0,26.181,96.506,20.736,81.392,254.64,0.645,0.12,20.685,686.8,3.983,2.629,2662.8,445.1,20.294,20.294,297.44,104.954,124.25,4871.4,1.116,6.555,2.072,95.402,49.202,1545.45,8346.25,1231.35,16.339,17750.999,903.062
145.442,132.452,90.736,2605.9,9000.6,1357.0,661.08,310.17,174.32,315.42,33.377,41.198,9268.6,96.758,254.43,793.6,70.764,677.78,4698.4,1.998,83.454,0.069,107.994,2831.2,169080.0,25.463,96.758,20.456,83.662,251.94,0.636,0.133,20.81,717.8,3.928,2.605,2605.9,449.3,19.802,19.802,293.44,106.011,125.687,4952.792,1.122,6.574,2.303,95.281,49.866,1544.35,8424.05,1218.433,16.09,17806.206,901.786
145.704,137.292,95.664,2649.2,8842.0,1431.2,666.58,324.65,177.3,335.31,33.599,40.915,9099.4,96.394,264.04,840.0,71.53,685.88,4704.2,2.176,79.99,0.072,111.412,2803.0,168040.0,25.424,96.394,20.176,85.482,250.48,0.609,0.126,21.994,754.7,4.013,2.657,2649.2,453.0,17.992,17.992,295.14,105.972,126.857,4951.964,1.132,6.567,2.502,94.027,51.14,1567.4,8773.85,1258.717,16.809,17943.444,942.53
140.558,128.192,89.183,2644.625,8542.25,1392.5,659.375,322.95,174.65,321.15,33.836,38.523,8773.5,94.422,260.25,799.375,70.345,651.7,4707.0,2.399,79.215,0.07,114.208,2764.75,172075.0,24.885,94.422,19.475,85.04,247.875,0.585,0.138,21.431,743.5,3.951,2.712,2644.625,461.625,16.948,16.948,300.45,101.997,123.696,4835.133,1.125,6.586,2.602,94.649,49.07,1606.6,8916.95,1290.35,17.425,17691.743,903.888
142.992,134.346,91.986,2683.3,8369.8,1402.0,653.24,327.0,176.06,339.27,33.577,38.789,8555.4,93.464,251.67,813.3,72.224,677.84,4688.6,2.551,80.984,0.069,116.844,2765.0,165080.0,24.834,93.464,19.442,84.542,249.44,0.602,0.141,20.812,783.1,3.953,2.74,2683.3,462.2,15.892,15.892,307.88,103.399,125.209,4826.295,1.126,6.591,2.687,94.115,50.043,1626.28,9159.15,1295.267,17.44,17765.872,930.63
139.464,131.3,89.322,2663.6,8457.2,1360.3,637.98,326.0,175.9,329.8,33.04,38.581,8686.6,92.01,241.38,861.6,69.438,687.3,4693.0,2.424,82.352,0.068,112.74,2770.6,166240.0,23.662,92.01,19.826,83.824,249.86,0.607,0.154,20.36,826.0,3.973,2.71,2663.6,459.5,16.448,16.448,312.32,99.438,121.544,4753.993,1.108,6.643,2.844,96.019,49.458,1628.55,9400.3,1327.717,18.302,17625.395,917.916
140.636,132.404,89.932,2756.5,8766.8,1389.9,637.22,319.32,174.48,325.4,32.407,39.567,8973.8,90.43,233.86,920.6,68.598,682.24,4686.2,2.526,83.208,0.068,112.592,2633.2,161340.0,24.492,90.43,20.886,86.908,248.38,0.611,0.164,21.276,843.4,3.987,2.629,2756.5,471.1,18.094,18.094,292.94,100.161,123.733,4878.587,1.109,6.678,2.827,96.087,48.482,1643.85,9865.25,1360.25,19.963,17951.071,928.398
143.738,139.024,95.388,2766.5,9153.4,1409.5,653.06,320.78,168.36,335.15,32.593,39.954,9436.2,86.734,235.96,937.8,69.946,699.68,4639.6,2.629,87.572,0.068,119.696,2547.8,161620.0,26.557,86.734,21.43,88.588,249.74,0.62,0.146,21.488,861.6,3.999,2.671,2766.5,487.1,15.754,15.754,297.44,103.09,127.112,5015.843,1.106,6.685,2.753,96.444,47.108,1658.15,10264.8,1344.317,20.301,18394.557,957.054
