date,title
2016-01-01,Запрет туркам вести строительство в России вступил в силу	США отправили первую после 40 лет запрета партию нефти на экспорт	Bosco назначили единственным поставщиком одежды для «Артека»	Шанхайская биржа приостановила торги	Рубль начал год ростом к доллару и евро	Цены на нефть выросли на фоне разрыва отношений между Эр-Риядом и Тегераном	Россия перестала быть крупнейшим импортером свинины	Миллер подтвердил информацию о газовых договоренностях с Узбекистаном	Источник сообщил об увеличении «Газпромом» закупок газа в Узбекистане 	Долги «Укрнафты» перед бюджетом Украины оценили в 10 миллиардов гривен	Мадуро объявил о чрезвычайных экономических мерах	Минтранс позаботился о дешевизне авиабилетов	Украина уверовала в победу над Россией в споре о трех миллиардах долларов	Центральный офис Coca-Cola оправдался за публикацию карты России с Крымом 	Акции Apple упали на сообщениях о сокращении выпуска шестых iPhone	Суд в Гааге согласился рассмотреть иск Коломойского к России	Курс доллара пробил отметку в 75 рублей	Путин поручил проработать отмену транспортного налога для большегрузов	Яценюк пообещал пожаловаться на Россию в ВТО	Swissotel в Москве прекратил работу из-за санкций против Турции	Цены на нефть обвалились до 33 долларов за баррель	Всемирный банк предсказал сроки окончания падения экономики России	Financial Times сообщила об ограничении продаж долларов в Китае	Мировые богачи за неделю потеряли 200 миллиардов долларов	СМИ сообщили о поджоге офиса оператора «Платона» в Кемерово	Медведев постановил создать особую экономическую зону во Фрязино	СМИ узнали о решении главы Fiat Chrysler отложить возрождение Alfa Romeo	
2016-01-10,"Завод Nissan в Петербурге сократит 250 сотрудников	На Ставрополье уничтожили партию турецких мандаринов	ЦБ повысил курс доллара на три рубля	«Укрнафта» обратилась в гаагский арбитраж с иском к России	Болгарский премьер предсказал возвращение «Южного потока»	ГАЗ на две недели остановил конвейер 	Путин указал на пользу санкций и низких цен на нефть	Евро на бирже взлетел на два рубля	МВФ одобрил бюджет Украины на 2016 год	Rabobank предупредил о подорожании доллара до 100 рублей 	Reuters сообщил о планах правительства России сократить бюджет	Eni отказалась от продажи «Роснефти» акций своей «дочки» 	Минэнерго опровергло сообщения о возобновлении «Южного потока»	СМИ сообщили о продаже «Роснефтью» сети АЗС на Украине швейцарцам	Россия попала в список худших экономик 2016 года	Израиль отказался от украинских яиц	Китай заинтересовался покупкой доли в месторождении «Роснефти»	Еврокомиссия одобрила покупку FedEx голландской компании TNT Express	Kia устроила кадровые перестановки в российском подразделении	Власти Приморья подсчитали будущие доходы от казино	Нефть Brent побила антирекорд 2004 года	Британский банк допустил падение цен на нефть до 10 долларов за баррель	Курс доллара впервые с 2014 года превысил 77 рублей 	Казахстан запретил въезд российских зерновозов	«Аэрофлот» получит 34 самолета «Трансаэро»	Украинский чиновник заявил о намерении подать в суд на Россию из-за КЖД	Усманов и Таврин скупили акции канала Disney	Реальный эффективный курс рубля в прошлом году вырос на процент	Росстат объявил данные по инфляции за 2015 год	LEGO оштрафовали за желание оставить немцев без скидок на конструкторы 	«Аэрофлот» вошел в топ-3 мировых перевозчиков с высокочастотными новыми рейсами	Медведев заявил о желании восстановить нормальные экономические отношения с ЕС 	Медведев отказал России в праве на экономический декаданс	Улюкаев предложил вернуться к вопросу о приватизации Сбербанка и ВТБ 	Россия до конца января подаст в Лондонский суд иск по долгу Украины	В 2015 году стартапы привлекли через StartTrack 115,5 миллиона рублей	Россельхознадзор задумался о раскрытии всей возможной информации о продуктах	«Коммерсантъ» узнал возможных подрядчиков строительства «Северного потока-2»	Силуанов пообещал адаптировать бюджет к новым ценам на нефть	Улюкаев помечтал о России-2030	На Украине прекращены официальные продажи Ferrari и Lamborghini	Кудрин заявил о неотвратимости повышения налогов	Путин призвал естественные монополии быть скромнее	Цена нефти Brent пробила отметку 30 долларов за баррель	В Минфине сочли справедливым курс рубля	Яценюк поручил расширить эмбарго против России	Клепач предсказал снижение ВВП России в 2016 году почти на два процента	«Аэрофлот» обсудил вопросы создания новой авиакомпании «Россия»	Кудрин назвал снижение реальных зарплат неизбежным	Газпромбанк профинансирует «Роснефть»	Сбербанк реструктурирует долги Украины	Ford Sollers возобновит работу на заводе во Всеволожске 15 января	ЦБ оценил максимально возможный долг России	Голикова отвергла возможность повторения кризиса 1998 года 	BP начала реорганизацию совместного бизнеса с «Роснефтью»	Медведев допустил рост задолженности по зарплате	Бизнесмены предсказали снижение продаж автомобилей в России	В ЦБ допустили разгон инфляции из-за падения рубля 	В магазинах IKEA нашли опасные барабанные палочки	Медведев анонсировал открытие многофункциональных центров для бизнеса	На Украине предсказали опережающий рост цен из-за ухудшения отношений с Россией	Forbes оценил потери Тимченко и Ротенберга от санкций	Goldman Sachs предрек подорожание нефти до 50 долларов 	ФАС обозначила размер штрафа для Google за нарушение закона о конкуренции	Порошенко самоустранился от управления Roshen	Новак рассказал об отсутствии у Украины денег на газ 	Минстрой России заявил о невозможности заморозить тарифы ЖКХ	Минэкономразвития пересмотрит список техники для сбора «налога на болванки»	Более 100 иностранных грузоперевозчиков оштрафованы в России в январе	Следственный комитет пригрозил уголовным преследованием за выпуск биткоинов	Аналитики рассказали о курсе рубля при нефти за 20 долларов	Акции Renault обрушились после сообщений об обысках 	Чубайс отказался верить в повторение кризиса 1998 года 	Курс евро превысил 84 рубля 	«Газпром» получил миллиардные убытки	Греф объявил об окончании эры нефтезависимости 	Вахтовики с месторождения «Лукойла» пожаловались на задержку зарплат	МВФ ухудшил прогноз спада российской экономики в 2016 году	«Аэрофлот» отказался переводить часть рейсов в Домодедово	В Шереметьево подтвердили закрытие старейшего магазина duty free	ХМАО и Тюменская область вошли в капитал «ЮТэйр»	ЦБ закрыл сотрудничавший с РПЦ Эргобанк	Volvo отзовет около пяти тысяч автомобилей в России	«Ведомости» узнали об ухудшении макропрогноза Минэкономразвития по ВВП России	Курс доллара вырос до 76,53 рубля	Российскую фабрику Порошенко решили продать за 200 миллионов долларов	Минфину поручили следить за водкой	Цена на нефть упала ниже 29 долларов за баррель	Центробанк задумался о повышении ключевой ставки 	«Газпром» сохранил слоган «Национальное достояние» вопреки ожиданиям ФАС	Минтруд посчитал находящихся на грани увольнения россиян 	Чиновники задумали контролировать перемещения пустых спиртовозов	Украина открыла маршрут доставки грузов из Китая в обход России	Евро преодолел отметку в 85 рублей 	Силуанов предупредил о «проедании» ФНБ и Резервного фонда в 2016 году	США вернули Кубе права на товарный знак Havana Club	В Пекине начал работу Азиатский банк инфраструктурных инвестиций	«Транснефть» начала поиски специалиста по кормлению улиток и цихлазом	В «Нафтогазе» допустили прохождение отопительного периода без российского газа	Иран закачает на рынок нефти еще миллион баррелей	Пиццерия Papa John's извинилась за Сталина в промокоде	"
2016-01-17,"Иран заявил о намерении купить 114 самолетов Airbus	Саудовский министр поделился прогнозом цен на нефть	Саудовская биржа рухнула	Uber списал с находившегося в Окленде клиента 47 долларов за поездку по Москве	Россия и Гонконг отменили двойное налогообложение	Центробанк поднял курсы евро и доллара на два рубля	Медведев признал непредсказуемость нефтяных цен 	Ретейлеры предложили вскрывать иностранные посылки для борьбы с контрафактом	«МегаФон» привлечет частных арендодателей	Дворкович рассказал об ожидаемом росте экономики в 2016 году	Нефть Brent упала ниже 28 долларов после снятия санкций с Ирана	Иран вернулся в SWIFT	Состояние половины населения Земли сравнялось с накоплениями 62-х богачей	Курс доллара приблизился к 79 рублям	Президент Польши усомнился в экономическом характере «Северного потока-2»	СТС  создал новую контролирующую структуру	Путин поручил подготовить стратегию развития автопрома до 2025 года	BIOCAD начала поставку препарата против рака во Вьетнам	Отток капитала из России сократился в три раза	«Аэрофлот» отказался от проведения мероприятия за 65 миллионов рублей	«Аптечная сеть 36,6» договорилась о слиянии с А5	Доллар подорожал до 79 рублей 	«Фольксваген Груп Рус» заявил об отзыве более 600 автомобилей Skoda Superb III	Иран одобрил увеличение добычи нефти на полмиллиона баррелей 	В Северной Дакоте цена на нефть упала ниже нуля	«Аэрофлот» стал вторым в мире по оснащенности Wi-Fi дальнемагистральных рейсов	«Газпром» выставил «Нафтогазу» счет на 2,5 миллиарда долларов за невыбранный газ	Правительство свернет программу льготной ипотеки 	МВФ ухудшил прогноз по экономике России	Правительство России резко сократило траты на поддержку малого бизнеса	Продажи «вторички» в Москве рухнули на треть	Рост экономики КНР достиг минимального значения за четверть века	Курс доллара снизился до 78,74 рубля	ФАС посчитала «Связной», «Евросеть», «Билайн» и «Мегафон» одной группой лиц	Роухани сравнил экономику Ирана с освобожденным узником	Запуск скоростной железной дороги Москва — Казань перенесли	Молочники предсказали падение производства ниже психологического барьера	ФАС объяснила сохранение слогана «национальное достояние» в рекламе «Газпрома»	Merrill Lynch счел возможным подорожание доллара до 210 рублей	Правительство до конца зимы примет решение о новых мерах поддержки ипотеки	Украина резко повысила стоимость транзита российского газа	Шереметьево серьезно задолжал ВЭБу и ВТБ 	Курс евро превысил 86 рублей	«Роснефть» запустит беспилотники для контроля за нефтепроводами	Иран предоставил европейцам скидку на нефть 	Курс доллара превысил 80 рублей 	«Газпром» расторг договор по проекту газопровода «Южный поток»	В «Газпроме» рассказали о потерях при поставках газа в Европу	Аналитики предсказали валютные интервенции при дальнейшем падении рубля	Россия вновь вложилась в долговые обязательства США	Акции Twitter рухнули на фоне глобального сбоя	«Коммерсантъ» узнал о возможных перебоях с поставками сигарет	Евро на бирже превысил 87 рублей	Тигр Амур и козел Тимур стали товарным знаком	Румынский суд отклонил обвинительный акт по делу «Лукойла»	VW попросили компенсировать европейцам потери из-за дизельного скандала	Курс евро преодолел 89 рублей	Украина пригрозила России судом в случае отказа платить за транзит газа	В новогодние каникулы россияне делали ставку на домашние развлечения	Банкиры попросили у Набиуллиной экстренной поддержки из-за обвала рубля 	Дерипаска раскритиковал российские власти за курс рубля	Евро пробил отметку в 90 рублей	Американский фондовый рынок рухнул на фоне распродаж акций по всему миру	Внешний долг России за год сократился на 14 процентов	Курс евро превысил 88 рублей	Доллар превысил исторический максимум	Шувалов посоветовал россиянам забыть о падении курса рубля	Трейдеры рассказали о первой за четыре года поставке российской нефти в США	Курс доллара скорректировался до 84 рублей	Песков призвал не считать обвалом нынешнее изменение курса рубля	General Motors представил конкурента Uber	Курс доллара на бирже превысил 83 рубля	В ООН спрогнозировали уровень инфляции в России в 2016 году	RNS узнал о возможном повышении цен на продукцию Samsung	«Росатом» начал работы по строительству АЭС в Финляндии	«Газпром» засекретил материалы по строительству «Турецкого потока»	Путина попросили запретить ввоз технической соли с Украины	ЦБ проведет экстренное совещание из-за обвала рубля	Набиуллина отказалась ехать в Давос 	Центробанку предложили установить курс в 40 рублей за доллар	Московская биржа разработала технологию спасения рубля 	Сбербанк предсказал сохранение курса рубля на текущем уровне 	В Госдуме раскритиковали идею о введении единого социального налога	В мясе рязанского гипермаркета «Лента» обнаружили листерию	На совещании в ЦБ банкиры признали ситуацию с рублем стабильной и управляемой	«Аэрофлот» предупредил пассажиров о нечестной работе продающих авиабилеты сайтов	Глава «Лукойла» поверил в нефть по 50 долларов к концу года	Умер один из богатейших бизнесменов Турции	Кувейт задумался о введении в стране налогов	Lufthansa получила первый в мире самолет Airbus A320neo	«Росатом» изготовит элемент ядерного реактора для подводных работ в Арктике 	Кудрин предсказал обострение кризиса в России	Украина решила оштрафовать «Газпром» на 3,5 миллиарда долларов	Замглавы Минфина увидел в скачках рубля глубину структурных проблем экономики	В Госдуме поверили в подорожание нефти до 60 долларов	Центробанк опустил евро на четыре рубля 	Доллар подешевел до 79 рублей 	Венесуэла нашла союзников для организации внеочередной встречи ОПЕК	«Ведомости» узнали о возможном дальнейшем сокращении расходов бюджета	Половину табачных и алкогольных акцизов предложили отдать на нужды культуры 	«Коммерсантъ» сообщил о нетипичной покупательной активности граждан	«Детский мир» задумался о закупках иностранных игрушек за рубли	СМИ узнали о планах «Макдоналдс» закупать картошку у дагестанского производителя	Курс доллара упал до 80 рублей	«Ростех» докапитализирует ключевой банк оборонки	Доллар и евро подешевели на пять рублей 	«Газпром» удивился украинскому штрафу на 3,5 миллиарда долларов	Мосгорсуд отказался делить акции «Норникеля» и «Интерроса» между Потаниными	Усманов назван инвестором самого дорогого стартапа в мире	МВФ напророчил Венесуэле инфляцию в 720 процентов	Государство даст на поддержку автопрома 50 миллиардов рублей	В Думе напророчили обвал экономики при 40-рублевом долларе	СМИ узнали об отказе поставщиков повышать цены на продукты	Morgan Stanley резко ухудшил прогноз по рублю 	Дефицит бюджета России оказался меньше двух триллионов рублей	В Совете Федерации поддержали предложение о госмонополии на спирт	Владельца CBS и Paramount отправили на психиатрическую экспертизу	Вице-премьер Хлопонин призвал не метаться из-за курса рубля	Дворкович рассказал о грядущем повышении цен на бензин	"
2016-01-24,"В России нашелся инвестор для реализации проекта сверхзвукового поезда	Глава Минстроя допустил субсидирование первоначального взноса по ипотеке	СМИ узнали о планах выделить 135 миллиардов рублей на реальный сектор в России	В Минюсте сообщили об успехах России в апелляциях по делу ЮКОСа	Москва и Каир подпишут соглашение о создании промзоны вблизи Суэцкого залива	Официальный курс евро упал на три рубля	«Макдоналдс» объявил о локализации производства продуктов в России	В «Лукойле» посчитали невозможным существование мира при нефти по 30 долларов	Росстат сообщил о падении розничной торговли в 2015 году на 10 процентов	Экономист Гуриев напророчил рублю падение на 15 процентов 	«Коммерсантъ» узнал о первых турецких контрсанкциях против России	В России запланировали постройку речных круизных кораблей	Курс доллара упал ниже 77 рублей 	В кабмине задумались о продлении текущих тарифов за проезд большегрузов	«Трансаэро» обязали выплатить «Аэрофлоту» 2,5 миллиарда рублей	Росрыболовство призвало вернуть на прилавки сардины иваси	Ветеранов-афганцев лишили права на шоколадные яйца	«Почта России» помогла возбудить 460 уголовных дел против своих сотрудников	Рабочие Volkswagen отказались повышать производительность труда	Россия вновь займет деньги за рубежом	Путин рассказал об угрозе инфляции при дешевых кредитах	Кукуруза стала поводом для предостережения России в адрес США	Доллар подорожал до 80 рублей 	Российские виноделы анонсировали повышение цен	Отток капитала из Китая достиг триллиона долларов	Падение рубля ударило по прибыли Hyundai	Таможня отчиталась о попытках ввоза в Россию турецкой контрабанды	Moody's оценило убытки от снежной бури в США в 3 миллиарда долларов	Эксперты предсказали рост цен и проблемы в ЕАЭС из-за запрета турецких продуктов	Еврокомиссия решила получить доступ к контрактам «Газпрома»	Курс доллара подскочил выше 82 рублей	ЦБ поднял официальный курс доллара на 4 рубля	Маск занялся поиском партнера для выпуска Tesla в Китае	Groupon прекратил работу на Украине	Китай объявил Джорджа Сороса врагом юаня	В Росавиации предрекли закрытие 5-6 авиакомпаний из-за запрета летать в Египет	Авиакомпании лишились семи миллионов пассажиров на международных рейсах	Улюкаев доложил Путину о движении экономики к позитиву	СМИ узнали о планируемой экспансии Peugeot-Citroёn в Иран	Россияне почти в два раза снизили покупки автомобилей в кредит	Долг каждой американской семьи при Обаме вырос на 70 тысяч долларов	Суд обязал Росавтодор представить соглашение с оператором «Платона»	Евро официально подешевел на три рубля 	РБК узнал детали антикризисного плана правительства	Минэкономразвития отказалось вводить налог на богатых 	«Ведомости» узнали о возможном слиянии Tele2 и «Вымпелкома»	Иран начнет поставлять газ в Европу 	Производители задумались о повышении минимальной цены на водку	Эксперты предсказали подорожание мебели и бытовой техники	В Минсельхозе назвали причину возможного роста цен на вино в России	Суд обязал Uber выплатить компенсацию французским таксистам	Владельцы Shell одобрили крупнейшую сделку по слиянию с BG Group	ФРС США сохранила неизменной базовую ставку	Алекперов предсказал рост цены бензина в 2016 году до 10 процентов	Акции компании Boeing упали на фоне новостей о сокращении заказов	Сенаторы согласились освободить Монголию от долгов перед Россией 	«Аэрофлот» снизил тарифы на международные рейсы	Китайская промышленность потеряла триллион долларов 	Девальвация заставила Louis Vuitton сильно поднять цены	На «Макдоналдс» подали в суд из-за стихов в рекламе	Правительство пустит 750 миллиардов рублей на спасение экономики  	Украина сохранит для «Газпрома» старые тарифы на транзит газа	Немецкий оператор duty free начал повышать цены в России	Страны БРИКС попали в десятку крупнейших участников МВФ	Шведский суд вынес решение по делу ЮКОСа в пользу России	«Ведомости» раскрыли подробности проекта антикризисного плана	Структура Александра Мамута взяла в управление «Детский мир» на Лубянке 	ЦБ Китая предоставил банкам 90 миллиардов долларов на новый год 	СМИ узнали о смене системы управления в МТС	«АвтоВАЗ» объявил цены на Lada XRay	Еврокомиссия обложит пошлинами импорт стали из России и Китая	В ОПЕК опровергли упомянутый Новаком план по 5-процентному сокращению добычи	Россия обсудит с ОПЕК возможное сокращение добычи нефти 	Total заключит с Ираном сделку на покупку сырой нефти	Украина стала мировым лидером по росту цен	Дворкович рассказал о роли России в корректировке цен на нефть	Оператор сетей «Сбарро» и «Елки-палки» уволил три тысячи сотрудников	Компания Toyota получит полный контроль над Daihatsu	Банк России оставил ключевую ставку неизменной 	В правительстве снова задумались об отмене выплат работающим пенсионерам 	Из антикризисного плана убрали подготовку к повышению пенсионного возраста	В Минэнерго предрекли сложные решения при падении нефтяных цен до 20 долларов	Грузоперевозки между Россией и Польшей оказались под угрозой срыва	СМИ узнали о намерении Роструда штрафовать за зарплаты в условных единицах	«Коммерсантъ» узнал о значительном сокращении пассажирского авиапарка России	Япония возобновила работу третьего атомного реактора после аварии 2011 года	Минфин допустил принудительное превращение частных вкладчиков в акционеров	«Газпром» отменил скидки для турецких покупателей	Минпромторг предложил приостановить госфинансирование развития SSJ-100	Советник Путина обеспокоился захватом Московской биржи спекулянтами	СМИ узнали о готовящейся отмене льгот для нефтяников	Экспорт нефти из Ирана в январе вырастет на 20 процентов	Билеты на поезда в страны СНГ в 2015 году подорожали на 15 процентов	Минэкономразвития одобрило повышение цен на водку	В Германии назвали условие согласия на строительство «Северного потока-2»	В правительстве не зафиксировали роста цен на продукты	"
2016-01-31,"Владимир Путин списал долг Монголии	Подрядчик «Южного потока» подал многомиллионный иск против «дочки» «Газпрома»	FT сообщила о скором возвращении Грефа в правительство	Минэкономразвития выступило против повышения взносов в ПФР	РЖД потратит на обновление подвижного состава 70 миллиардов рублей	СМИ узнали о намерении правительства сэкономить на антикризисном плане	Россия опустилась на десять позиций в рейтинге свободных экономик	СМИ узнали о планах повысить сборы с работающих граждан в Пенсионный фонд	Турция запретила российскому транспорту перевозки по своей территории	«Ведомости» рассказали о приватизации на триллион рублей	Stockmann продал убыточные торговые центры в России	Ernst & Young объявила о начале конкурса «Деловые женщины 2016»	Сбербанк занялся банкротством инициатора блокады Крыма	В Турции рассказали о возможном ударе по сельскому хозяйству России	«Почта России» потратит 200 миллионов рублей на оптимизацию управления	Банки столкнулись с нетипично высоким спросом на ипотеку	Крупнейший на юге Сибири агрохолдинг обанкротился	«Роснефть» займет в ВТБ 85 миллиардов рублей	«GM-АвтоВАЗ» возобновит программу утилизации старых автомобилей	В «Транснефти» задумались о покупке полиграфа	Четыре российские компании попали в список наиболее дорогих брендов планеты	Путин запретил продавать госпакеты акций российских компаний за бесценок	Число безработных в России достигло миллиона	Peugeot отзовет в России 2,5 тысячи кроссоверов	Шувалов призвал отказаться от строительства зданий для органов власти	Сенаторы спасут экономику регионов пьяными рублями  	ЦБ и Всемирный банк обсудили проблему бедности в России 	Официальный евро подорожал на два рубля	РБК узнал об отказе Минфина финансировать треть антикризисного плана	Владелец Google стал самой дорогой компанией в мире	Польская PGNiG подала иск против «Газпрома» в Стокгольмский арбитраж	Минэкономразвития обнаружило резервы для сокращения расходов РЖД	«Росспиртпром» скупил акции восьми спиртзаводов	Курс евро превысил 85 рублей	«Роснефть» и GE договорились о совместном производстве судов в России	Улюкаев уверовал в восстановление экономики в 2016 году	Австрия заявила об особом интересе к «Северному потоку-2»	В «Роснефти» спрогнозировали сроки восстановления нефтяных цен	В РЖД начали увольнять начальников за дорогие «Мерседесы»	Резервный фонд России уменьшился на 36 процентов 	Минэкономразвития приготовилось к обвалу цен на нефть 	Цукерберг занял четвертую строчку в списке самых богатых людей мира	Американская компания нашла в Грузии 5 триллионов кубометров газа	Руководителя крупнейшей авиакомпании Китая заподозрили в коррупции	Счетная палата сочла неэффективным использование средств на 440 миллиардов	СМИ узнали о миллиардных выплатах Vimpelcom регуляторам из США и ЕС	WSJ узнала о возможной продаже бизнеса Yahoo	Госдолг США перевалил за 19 триллионов долларов	Toyota заплатит 22 миллиона долларов за расовую дискриминацию клиентов	S7 объявила о планах по вхождению в капитал кипрской авиакомпании	Центробанк предрек нащупывание дна экономикой	Прокуратура возбудила дело по факту задержки зарплат в «Сбарро» 	Парламент Болгарии отклонил проект по возобновлению «Южного потока»	В Госдуме предложили запретить продажу сигарет через окошко	ЦБ поднял курс евро на полтора рубля	Мейуэзер-младший решил вложиться в бизнес в России	Еврокомиссия ухудшила прогноз по экономике России 	Польша отложила решение о создании СП по «Северному потоку-2»	Сын Патрушева стал кандидатом в совет директоров «Газпрома»	12 стран подписали соглашение о создании Транстихоокеанского партнерства	Улюкаева выдвинули в совет директоров «Газпрома»	Правительство отказалось проводить реформы в рамках антикризисного плана-2016	«Коммерсантъ» узнал о заморозке дорожных строек в Подмосковье к ЧМ-2018	Россия согласилась разработать новый договор о перевозках с Польшей	Morgan Stanley вдвое снизил прогноз цен на нефть	Улюкаев посоветовал «Газпрому» снижать издержки	Роструд занялся привлечением к уголовной ответственности поставщика «АвтоВАЗа»	МВФ отложил очередной транш Украине	Nestle купит одного из крупнейших в Израиле производителей хумуса	«Газпром» опроверг сообщения о начале ценовой войны с США	В России резко выросло число поддельных долларов и евро 	Цены на продовольствие в мире достигли семилетнего минимума	«Газпром» отказался продолжать газификацию Тверской области из-за долгов	Французским супермаркетам запретили выбрасывать еду	Украина снова вошла в пятерку самых несчастных экономик мира 	Силуанов объяснил задержку с подачей иска к Украине	Банк России поднял доллар выше 77 рублей	Производители газировки назвали неадекватным акциз на вредные продукты	Голикова оценила неэффективные расходы бюджета в полтриллиона рублей 	Депутат Госдумы призвал оставить заграницу без российской нефти	Правительство задумалось о введении налога на сахар, пальмовое масло и чипсы	Январские продажи автомобилей повторили антирекорд 2010 года	Потери России от внешних шоков оценили в 570 миллиардов долларов	Сеть «Билла» оштрафовали за антисанитарию	Медведев обрадовался низким ценам на нефть	Еврокомиссия признала «Северный поток-2» подпадающим под Третий энергопакет	Атомщики предложили радиационный метод борьбы с лихорадкой Зика 	Правительство установило максимальную стоимость проезда по платным дорогам	Иран откажется от доллара при торговле нефтью 	Старейший в России НПЗ подал иск о банкротстве	Число нефтяных скважин в мире вновь упало	ФАС уличила МТС в нарушении закона о рекламе	Доходы России от продажи нефти упали на 42 процента 	«Роснано» отчиталось о спонсорах новогоднего корпоратива	Силуанов назвал недостаточным урезание бюджета на 10 процентов	Премьер предложил продолжить субсидирование ипотечных ставок	Минфин предложил ввести акцизы на газировку со второго полугодия 2016 года	Минфин заявил о повышении акцизов на бензин и дизтопливо	Иран проведет с Россией переговоры о кредите в 7 миллиардов долларов	«Русал» попросил власти поддержать производство алюминиевых трамваев	"
